basket_id,basket_avg_pairwise_corr,basket_sector_count,symbols,sectors
1,0.12812861540564185,5,"LTF, DRREDDY, PATANJALI, TIINDIA, INFY","Financial Services, Healthcare, Fast Moving Consumer Goods, Automobile and Auto Components, Information Technology"
2,0.13376971193347947,5,"LICHSGFIN, HCLTECH, ALKEM, POWERINDIA, HINDUNILVR","Financial Services, Information Technology, Healthcare, Capital Goods, Fast Moving Consumer Goods"
3,0.12967731942688324,5,"CANBK, NESTLEIND, MAXHEALTH, TCS, IDEA","Financial Services, Fast Moving Consumer Goods, Healthcare, Information Technology, Telecommunication"
4,0.15028910440330018,5,"IDFCFIRSTB, TORNTPHARM, MPHASIS, PHOENIXLTD, GVT&D","Financial Services, Healthcare, Information Technology, Realty, Capital Goods"
5,0.14864604521968394,5,"SBIN, PERSISTENT, GODREJCP, SUZLON, FORTIS","Financial Services, Information Technology, Fast Moving Consumer Goods, Capital Goods, Healthcare"
6,0.15363709723055344,5,"ABCAPITAL, CIPLA, VBL, NYKAA, OIL","Financial Services, Healthcare, Fast Moving Consumer Goods, Consumer Services, Oil Gas & Consumable Fuels"
7,0.15918909111524354,5,"PFC, BRITANNIA, INDUSTOWER, LUPIN, SUPREMEIND","Financial Services, Fast Moving Consumer Goods, Telecommunication, Healthcare, Capital Goods"
8,0.16795478587602877,5,"RECLTD, WIPRO, GODFRYPHLP, BHARTIARTL, PAGEIND","Financial Services, Information Technology, Fast Moving Consumer Goods, Telecommunication, Textiles"
9,0.17156319904473774,5,"FEDERALBNK, MARICO, SOLARINDS, COFORGE, CGPOWER","Financial Services, Fast Moving Consumer Goods, Chemicals, Information Technology, Capital Goods"
10,0.17882299434912632,5,"HDFCAMC, SUNPHARMA, KPITTECH, ADANIGREEN, DMART","Financial Services, Healthcare, Information Technology, Power, Consumer Services"
11,0.1726827948342125,5,"M&MFIN, DIVISLAB, ATGL, COLPAL, KALYANKJIL","Financial Services, Healthcare, Oil Gas & Consumable Fuels, Fast Moving Consumer Goods, Consumer Durables"
12,0.17167926707022935,5,"BANKBARODA, LTM, BLUESTARCO, ITC, ADANIENSOL","Financial Services, Information Technology, Consumer Durables, Fast Moving Consumer Goods, Power"
13,0.18916517404669342,5,"AXISBANK, ZYDUSLIFE, ASTRAL, RADICO, POWERGRID","Financial Services, Healthcare, Capital Goods, Fast Moving Consumer Goods, Power"
14,0.1874680905153176,5,"ICICIBANK, COROMANDEL, TECHM, TATACOMM, INDIGO","Financial Services, Chemicals, Information Technology, Telecommunication, Services"
15,0.19832569461487365,5,"BAJAJFINSV, MAZDOCK, DABUR, OFSS, ONGC","Financial Services, Capital Goods, Fast Moving Consumer Goods, Information Technology, Oil Gas & Consumable Fuels"
16,0.19836252667771165,5,"HUDCO, APOLLOHOSP, KEI, NAUKRI, TITAN","Financial Services, Healthcare, Capital Goods, Consumer Services, Consumer Durables"
17,0.2054157347470412,5,"UNIONBANK, ASIANPAINT, PIIND, PRESTIGE, GLENMARK","Financial Services, Consumer Durables, Chemicals, Realty, Healthcare"
18,0.21473210062350162,5,"PNB, LAURUSLABS, TRENT, ABB, UNITDSPR","Financial Services, Healthcare, Consumer Services, Capital Goods, Fast Moving Consumer Goods"
19,0.21138032579993524,5,"BANKINDIA, PIDILITIND, APLAPOLLO, OBEROIRLTY, AUROPHARMA","Financial Services, Chemicals, Capital Goods, Realty, Healthcare"
20,0.21098496355155097,5,"BAJFINANCE, COCHINSHIP, BIOCON, ETERNAL, HINDZINC","Financial Services, Capital Goods, Healthcare, Consumer Services, Metals & Mining"
21,0.2359865791893656,5,"SHRIRAMFIN, JSWENERGY, TATAELXSI, BDL, JUBLFOOD","Financial Services, Power, Information Technology, Capital Goods, Consumer Services"
22,0.24504016677999257,5,"HDFCBANK, NHPC, CUMMINSIND, DIXON, BAJAJ-AUTO","Financial Services, Power, Capital Goods, Consumer Durables, Automobile and Auto Components"
23,0.24845260702155897,5,"SBICARD, COALINDIA, ADANIPOWER, SHREECEM, HAL","Financial Services, Oil Gas & Consumable Fuels, Power, Construction Materials, Capital Goods"
24,0.2630370652526858,5,"CHOLAFIN, NTPC, HAVELLS, RVNL, ADANIENT","Financial Services, Power, Consumer Durables, Construction, Metals & Mining"
25,0.26405877920740545,5,"INDUSINDBK, BEL, TVSMOTOR, VEDL, LODHA","Financial Services, Capital Goods, Automobile and Auto Components, Metals & Mining, Realty"
26,0.26120727406209615,5,"INDIANB, EICHERMOT, NATIONALUM, INDHOTEL, UPL","Financial Services, Automobile and Auto Components, Metals & Mining, Consumer Services, Chemicals"
27,0.2771131545391752,5,"HDFCLIFE, HINDPETRO, POLYCAB, TATACONSUM, IRCTC","Financial Services, Oil Gas & Consumable Fuels, Capital Goods, Fast Moving Consumer Goods, Consumer Services"
28,0.27648636241368985,5,"KOTAKBANK, NMDC, HEROMOTOCO, SRF, CONCOR","Financial Services, Metals & Mining, Automobile and Auto Components, Chemicals, Services"
29,0.2939756873483273,5,"SBILIFE, ASHOKLEY, GAIL, VOLTAS, MOTHERSON","Financial Services, Capital Goods, Oil Gas & Consumable Fuels, Consumer Durables, Automobile and Auto Components"
30,0.29189579301639906,5,"IRFC, MARUTI, HINDALCO, BPCL, GODREJPROP","Financial Services, Automobile and Auto Components, Metals & Mining, Oil Gas & Consumable Fuels, Realty"
31,0.29733508645056883,5,"MUTHOOTFIN, IOC, BOSCHLTD, JINDALSTEL, AMBUJACEM","Financial Services, Oil Gas & Consumable Fuels, Automobile and Auto Components, Metals & Mining, Construction Materials"
32,0.31056681046646856,5,"MCX, TMPV, GMRAIRPORT, RELIANCE, ULTRACEMCO","Financial Services, Automobile and Auto Components, Services, Oil Gas & Consumable Fuels, Construction Materials"
33,0.32991687579434525,5,"ICICIGI, BHEL, M&M, ADANIPORTS, TATASTEEL","Financial Services, Capital Goods, Automobile and Auto Components, Services, Metals & Mining"
34,0.32902987949739665,5,"MFSL, TATAPOWER, MRF, JSWSTEEL, SIEMENS","Financial Services, Power, Automobile and Auto Components, Metals & Mining, Capital Goods"
35,0.35402427048117213,5,"POLICYBZR, EXIDEIND, GRASIM, LT, SAIL","Financial Services, Automobile and Auto Components, Construction Materials, Construction, Metals & Mining"
