ticker,token,company_name,series
360ONE.NS,13061,360 ONE WAM Ltd.,EQ
ABB.NS,13,ABB India Ltd.,EQ
ABCAPITAL.NS,21614,Aditya Birla Capital Ltd.,EQ
ADANIENSOL.NS,10217,Adani Energy Solutions Ltd.,EQ
ADANIENT.NS,25,Adani Enterprises Ltd.,EQ
ADANIGREEN.NS,3563,Adani Green Energy Ltd.,EQ
ADANIPORTS.NS,15083,Adani Ports and Special Economic Zone Ltd.,EQ
ADANIPOWER.NS,17388,Adani Power Ltd.,EQ
ALKEM.NS,11703,Alkem Laboratories Ltd.,EQ
AMBUJACEM.NS,1270,Ambuja Cements Ltd.,EQ
APLAPOLLO.NS,25780,APL Apollo Tubes Ltd.,EQ
APOLLOHOSP.NS,157,Apollo Hospitals Enterprise Ltd.,EQ
ASHOKLEY.NS,212,Ashok Leyland Ltd.,EQ
ASIANPAINT.NS,236,Asian Paints Ltd.,EQ
ASTRAL.NS,14418,Astral Ltd.,EQ
ATGL.NS,6066,Adani Total Gas Ltd.,EQ
AUBANK.NS,21238,AU Small Finance Bank Ltd.,EQ
AUROPHARMA.NS,275,Aurobindo Pharma Ltd.,EQ
AXISBANK.NS,5900,Axis Bank Ltd.,EQ
BAJAJ-AUTO.NS,16669,Bajaj Auto Ltd.,EQ
BAJAJFINSV.NS,16675,Bajaj Finserv Ltd.,EQ
BAJAJHLDNG.NS,305,Bajaj Holdings & Investment Ltd.,EQ
BAJFINANCE.NS,317,Bajaj Finance Ltd.,EQ
BANKBARODA.NS,4668,Bank of Baroda,EQ
BANKINDIA.NS,4745,Bank of India,EQ
BDL.NS,2144,Bharat Dynamics Ltd.,EQ
BEL.NS,383,Bharat Electronics Ltd.,EQ
BHARATFORG.NS,422,Bharat Forge Ltd.,EQ
BHARTIARTL.NS,10604,Bharti Airtel Ltd.,EQ
BHEL.NS,438,Bharat Heavy Electricals Ltd.,EQ
BIOCON.NS,11373,Biocon Ltd.,EQ
BLUESTARCO.NS,8311,Blue Star Ltd.,EQ
BOSCHLTD.NS,2181,Bosch Ltd.,EQ
BPCL.NS,526,Bharat Petroleum Corporation Ltd.,EQ
BRITANNIA.NS,547,Britannia Industries Ltd.,EQ
BSE.NS,19585,BSE Ltd.,EQ
CANBK.NS,10794,Canara Bank,EQ
CGPOWER.NS,760,CG Power and Industrial Solutions Ltd.,EQ
CHOLAFIN.NS,685,Cholamandalam Investment and Finance Company Ltd.,EQ
CIPLA.NS,694,Cipla Ltd.,EQ
COALINDIA.NS,20374,Coal India Ltd.,EQ
COCHINSHIP.NS,21508,Cochin Shipyard Ltd.,EQ
COFORGE.NS,11543,Coforge Ltd.,EQ
COLPAL.NS,15141,Colgate Palmolive (India) Ltd.,EQ
CONCOR.NS,4749,Container Corporation of India Ltd.,EQ
COROMANDEL.NS,739,Coromandel International Ltd.,EQ
CUMMINSIND.NS,1901,Cummins India Ltd.,EQ
DABUR.NS,772,Dabur India Ltd.,EQ
